"Technical Specialist-MS,Network",NTT Ltd.,"Mumbai, Maharashtra, India",Hybrid,"10,001+ employees","17,654 on LinkedIn",60 applicants,"Information Technology & Services 10,001+ employees 17,654 on LinkedIn",Full-time · Mid-Senior level,"['Ensure that assigned infrastructure at the client site is configured, installed, tested, and operational', 'Perform necessary checks, apply monitoring tools and respond to alerts', 'Identify problems and errors prior to or when it occurs and log all such incidents in a timely manner with the required level of detail', 'Assist in analyzing, assigning, and escalating support calls', 'Investigate third line support calls assigned and identify the root cause of incidents and problems', 'Report and escalate issues to 3rd party vendors if necessary', 'Provide onsite technical support to clients and provide field engineering services to clients', 'Conduct a monthly random review of incidents and service requests, analyze and recommend improvement in quality', 'Provide continuous feedback to clients and affected parties and update all systems and/or portals as prescribed by NTT', 'Proactively identify opportunities for work optimization including opportunities for automation of work', 'Ability to communicate and work across different cultures and social groups', 'Ability to plan activities and projects well in advance, and takes into account possible changing circumstances', 'Ability to maintain a positive outlook at work', 'Ability to work well in a pressurized environment', 'Ability to work hard and put in longer hours when it is necessary', 'Ability to apply active listening techniques such as paraphrasing the message to confirm understanding, probing for further relevant information, and refraining from interrupting', 'Ability to adapt to changing circumstances', 'Ability to place clients at the forefront of all interactions, understanding their requirements, and creating a positive client experience throughout the total client journey', 'Advanced diploma, degree, or relevant qualification in IT/Computing (or demonstrated equivalent work experience)', 'Demonstrated work experience', 'Demonstrated experience required in Engineering function within a medium to large ICT organization', 'Demonstrated experience of Managed Services', 'Demonstrated working knowledge of ITIL processes', 'Demonstrated experience working with vendors and/or 3rd parties']",Active ListeningAddCommunicationAddCustomer ExperienceAddForefrontAddInformation TechnologyAddInformation and Communications Technology (ICT)AddLevel of Detail (LOD)AddProduct ReviewsAddRoot CauseAddService-Level Agreements (SLA)Add
Technology Lead,Broadridge India,"Bengaluru, Karnataka, India",On-site,"5,001-10,000 employees",793 on LinkedIn,58 applicants,"Financial Services 5,001-10,000 employees 793 on LinkedIn",Full-time,"['Software Design and Development:', 'Ability to work with complex requirements and specification documents, and develop appropriate software solutions', 'Ability to integrate into an existing development team and work with an existing extensive code base', 'Participate in the overall planning and execution of development objectives', 'Responsible for the creation of programmatic modules, unit and integration tests and test data related to Development assignments', 'Ensure all development processes and practices are completely and consistently followed', 'Ability to prioritize and manage multiple tasks; as well as define problems, and develop methods to resolve them in a timely manner', 'Development standards and quality:', 'Maintain the consistently high quality of the software code', 'Ensure the relevant coverage by unit tests and/or automated testing routines', 'Work with peers and management to develop process standards and/or enhancements to prevent re-occurrence of Development-related issues', 'Strategic Development and Partnership:', 'Partner with peers, management, senior managers, internal and external business users to identify, gather, and understand their goals and to formulate strategies to support them, while prioritizing requests and staying within deadlines', 'Work collaboratively with team to create and share technology vision on an ongoing basis', 'Mentor colleagues on development techniques', 'Education: BTech/MBA in Computer Science or equivalent', '5+ years of experience in software development', 'Excellent understanding of Typescript and Javascript', 'Experience with React \\ Redux \\ MobX', 'Responsive HTML5\\CSS3 markup development', 'Strong experience with unit testing', 'Experience with Docker is a plus', 'Strong knowledge of data structures, algorithms', 'Experience in Agile development methodologies', 'Good analytical skills in assessing user, functional and technical requirements', 'Good problem solving, troubleshooting and communication skills']",Analytical SkillsAddAssessmentAddCascading Style Sheets (CSS)AddCommunicationAddComputer ScienceAddMobXAddRedux.jsAddSoftware DevelopmentAddTechnical RequirementsAddTest DataAdd
Technical Lead,PropertyGuru Group,"Bengaluru, Karnataka, India",Hybrid,"1,001-5,000 employees","1,805 on LinkedIn",95 applicants,"Computer Software 1,001-5,000 employees 1,805 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",LAMPAddMERN StackAddNestJSAdd
Sr. Technical Specialist,General Mills India,"Mumbai, Maharashtra, India",Full-time · Mid-Senior level,"1,001-5,000 employees",271 on LinkedIn,Over 200 applicants,"Consumer Goods 1,001-5,000 employees 271 on LinkedIn",Full-time · Mid-Senior level,"['The candidate has to work as an individual contributor.', 'Individual should be able to work on application server, web server and infrastructure administration independently.', 'It is expected to implement defined application architecture and support a large catalog of General Mills global business applications.', 'The candidate should be able to provide strong technical skills in a global application support team implementing a robust infrastructure, troubleshooting installations, and addressing application performance issues.', 'The individual should be able to work on process improvements for the team independently', 'The Individual should be having good understanding of best practices and should be able to help the team in maintaining the same.', 'The individual should also have some basic work experience of the latest offerings in application server, web server & infrastructure area.', 'Act as a subject matter expert for other team members and keep the light on', 'Troubleshoot, analyze and resolve technical and performance problems in third party application and the systems that integrate with.', 'Co-ordinate with vendors to resolve any issue', 'Proactively tune the system to meet business requirement', 'Apply periodic patch policy on all third party application & it’s integrated environment', 'Form a process and technical document after taking consensus from global team', 'Work with functional teams and the architecture team to determine best practices for future and enterprise applications', 'Coordinate with other teams for downtime', 'Troubleshoot the problems due to upgrade/patch & also form a process to prevent it in future', 'Guide team members by providing valuable inputs & also by making them understand the need of change', 'Act as a subject matter expert to solve critical issue & document the same', 'Work on innovation and automation to reduce mundane work', 'Work on better implementation and administration plan on critical tools', 'Continuous Improvement of team processes', 'Providing end user self-service solutions', 'Automation of repetitive processes', 'Monitoring and reporting of key infrastructure components', 'Reduce on-call tasks and requests by proactively targeting problem areas', 'Monitoring Industry Trends', 'Drive Platform Consultancy Spheres Initiative', 'Candidate should have working experience with a global team.', 'Individual should have working experience on webLogic, webSphere, jboss and other Java technologies on windows and linux operating systems.', 'Knowledge of current version of MS Windows Server configuration and hardening', 'Working experience on any cloud technology is must', 'Experience support Microsoft IIS', 'Understanding of Networking protocols and topography', 'Strong understanding of firewalls, DNS, TCP/IP, Ports', 'Experience with captures tools such as Netmon and Wireshark', 'Experience with traffic load balancers such as F5’s', 'Ability to drive and manage projects to completion', 'Ability to manage multiple priorities in a dynamic environment', 'Working experience on Python scripting is must', 'Takes accountability for delivering on personal commitments.', 'Learns from successes and failures to improve solutions', 'Prioritizes ones work and goes above and beyond what is expected to deliver superior results.', 'Courageously asks questions and challenge the traditional way of working', 'Asks questions to understand reality, displays urgency even in the absence of assigned deadlines;', 'Welcomes and leverages perspectives gained internally and externally', 'Respects and supports people with a wide range of perspectives, experiences and backgrounds.', 'Acts with integrity and does the right thing all the time', 'Responsibilities include rotating on call support (including weekends) and planned project activities support.']",Application ArchitectureAddBusiness RequirementsAddJBoss Application ServerAddNetMonAddSelf-Service SolutionsAddServer ConfigurationAddTroubleshootingAddWebLogicAdd
Order to Cash Operations New Associate-Order to Cash Processing,Accenture in India,"Gurgaon, Haryana, India",On-site,"10,001+ employees","42,765 on LinkedIn",75 applicants,"Information Technology & Services 10,001+ employees 42,765 on LinkedIn",Full-time · Entry level,"['Skill required: Order to Cash Processing - Customer Master Data ManagementDesignation: Management Level - New AssociateJob Location: GurugramQualifications: Any GraduationYears of Experience: 0 to 1 yearsAbout AccentureAccenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services, and Accenture Song— all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities.Visit us at www.accenture.comWhat would you do?You will be aligned with our Finance Operations vertical and will be helping us in determining financial outcomes by collecting operational data/reports, whilst conducting analysis and reconciling transactions. The Order to Cash Processing team provides services to clients and organizations by helping them in the areas of optimizing working capital, providing real-time visibility and end-to-end management of revenue and cash flow, and streamlining billing processes. This team over looks the entire processes that starts from customers inquiry, sales order to delivery and invoicing. In Customer Master Data Management you will be responsible for processes, governance, policies, standards and tools that consistently define and manage the critical data of an organization to provide a single point of reference.What are we looking for?Adaptable and flexibleAbility to perform under pressureProblem-solving skillsDetail orientationAbility to establish strong client relationshipRoles And ResponsibilitiesIn this role you are required to solve routine problems, largely through precedent and referral to general guidelinesYour primary interaction is within your own team and your direct supervisorIn this role you will be given detailed instructions on all tasksThe decisions that you make impact your own work and are closely supervisedYou will be an individual contributor as a part of a team with a predetermined, narrow scope of workPlease note that this role may require you to work in rotational shiftsAny Graduation']",Cash ManagementAddData ManagementAddMaster DataAddMaster Data ManagementAddOperationsAddOrder to CashAdd
Associate Analyst Adops,Dotdash Meredith,"Bengaluru, Karnataka, India",On-site,"1,001-5,000 employees","2,474 on LinkedIn",62 applicants,"Computer Software 1,001-5,000 employees 2,474 on LinkedIn",Full-time · Entry level,"['Job TitleAssociate Analyst AdopsJob DescriptionAbout Dotdash Meredith:Dotdash Meredith is the largest digital and print publisher in America. From mobile to magazines, nearly 200 million people trust us to help them make decisions, take action, and find inspiration. Dotdash Meredith\'s over 40 iconic brands include PEOPLE, Better Homes & Gardens, Verywell, FOOD & WINE, The Spruce, Allrecipes, Byrdie, REAL SIMPLE, Investopedia, and Southern Living. Dotdash Meredith is based in New York City and is an operating business of IAC (NASDAQ: IAC) (Dotdash Meredith - America\'s Largest Digital & Print Publisher).Meredith India Services Pvt. Ltd. (a Dotdash Meredith Company)Meredith India Services Pvt. Ltd. is a subsidiary of Dotdash Meredith (USA), the parent company of over 40 iconic brands like PEOPLE, Better Homes & Gardens, Verywell, FOOD & WINE, The Spruce, Allrecipes, Byrdie, REAL SIMPLE, Investopedia, Southern Living and many more.We provide offshore support to Dotdash Meredith within Research & Analytics, Technology, Finance, Operations, Consumer Marketing & Revenue, and Shared Services domains.Operating out of Bengaluru, Dotdash Meredith India employs a diverse and vibrant workforce with an engaging workspace. We’re energetic, strong & dynamic and form a solid foundation that celebrates our work culture. We’re looking for bright, engaged, creative and fun people to join our inspiring team.Our Core ValuesChampion AccountabilityRespectExpect IntegrityAct Now, Not LaterMake it MatterJob Summary: This individual will be responsible to manage online advertising campaigns through GAM (Google Ad Manager) Including reviewing Operative Data push, creative set ups, Quality Checks, Campaign delivery reporting, screenshots, troubleshooting and interacting closely with the NYC teams on a regular basis.To start with, the individual will be handling daily tasks, such as: screenshots for ad / campaign launch, setting up house ads. The Individual will also have to be in close contact with the NY counterparts to ensure timely completion of tasks and high quality in the services rendered.Primary ResponsibilitiesReview and approve / reject advertising insertion order information entered into the contract management system by the individual site teams so that the campaign can be trafficked and billedReview revisions to orders within the contract system; ensure that appropriate documentation exists to support the changesPoint of contact for client service team to ensure smooth workflow of opportunities in CRMAssist stakeholders on day-to-day activities (Ad hoc) with reports and administrative task.Assist CSM to identify and book right ad products in OMSRequired SkillsMandatory Skills:0-2 years of experience in the online ad operations domain including reporting and campaign trafficking.Good Understanding Of How An OMS Functions.Good knowledge of the Microsoft Office packages.Ability to communicate clearly via emails and on callsStrong team player with exceptionally strong customer service skills.Exceptional attention to detail.Ability to work under pressure of tight deadlines.Able to communicate with all levels of employees.Ability to create a sense of team cohesiveness and commitment to achieving our common goals.Good To HaveHTML 5- and third-party tag traffickingPreroll video traffickingDebugging tools like Charles, Google ad consolePlatform Related ExperienceOperative One or Other OMSSalesforceJira Ticketing systemProficient in MS Excel.Knowledge about trafficking would be an additional bonus, but certainly not mandatory.What will you learn on this job?to manage online advertising campaigns through GAM (Google Ad Manager) Including reviewing Operative Data push, creative set ups, Quality Checks, Campaign delivery reporting, screenshots, troubleshooting and interacting closely with the NYC teams on a regular basis.This is post Planning where the campaigns are executed as per the plans created by coordinating with account strategy teams.Designation: Associate AnalystWorking Hours: 6.30 PM – 3.30 AM ISTWeekend screengrabs (Once in 3 months)It is the policy of Meredith Operations Corporation (""Dotdash Meredith"", ""the Company"") to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, the Company will provide reasonable accommodations for qualified individuals with disabilities.#INDIA#']",Advertising OperationsAddAnalytical SkillsAddAttention to DetailAddCommunicationAddCustomer ServiceAddTicketing SystemsAdd
Order to Cash Operations Associate-Order to Cash Processing,Accenture in India,"Gurgaon, Haryana, India",On-site,"10,001+ employees","42,765 on LinkedIn",70 applicants,"Information Technology & Services 10,001+ employees 42,765 on LinkedIn",Full-time · Entry level,"['Skill required: Order to Cash Processing - Order ManagementDesignation: Management Level - AssociateJob Location: GurugramQualifications: Any GraduationYears of Experience: 1 to 3 yearsAbout AccentureAccenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services, and Accenture Song— all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities.Visit us at www.accenture.comWhat would you do?You will be aligned with our Finance Operations vertical and will be helping us in determining financial outcomes by collecting operational data/reports, whilst conducting analysis and reconciling transactions. The Order to Cash Processing team provides services to clients and organizations by helping them in the areas of optimizing working capital, providing real-time visibility and end-to-end management of revenue and cash flow, and streamlining billing processes. This team over looks the entire processes that starts from customers inquiry, sales order to delivery and invoicing. In Order Management, you will be working on administration of business processes related to orders for goods or services. You will also assess, design, build and implement best practices on process, organization, and technology from order creation to order fulfillment, financial settlement including order prioritization, purchase order receipt, invoice matching, inventory availability and promise, accuracy and fulfillment, provisioning of services and activation of billing.What are we looking for?Order ManagementAbility to perform under pressureProblem-solving skillsAgility for quick learningRoles And ResponsibilitiesIn this role you are required to solve routine problems, largely through precedent and referral to general guidelinesYour expected interactions are within your own team and direct supervisorYou will be provided detailed to moderate level of instruction on daily work tasks and detailed instruction on new assignmentsThe decisions that you make would impact your own workYou will be an individual contributor as a part of a team, with a predetermined, focused scope of workPlease note that this role may require you to work in rotational shiftsAny Graduation']",Cash ManagementAddFinanceAddLearningAddOperationsAddOrder ManagementAddOrder to CashAdd
Customer Service Associate-Telecom Operations,Accenture in India,"Gurgaon, Haryana, India",On-site,"10,001+ employees","42,765 on LinkedIn",45 applicants,"Information Technology & Services 10,001+ employees 42,765 on LinkedIn",Full-time · Entry level,"[""Skill required: Telecom Operations - Customer Service ManagementDesignation: Management Level - AssociateJob Location: GurugramAny Graduation1 to 3 yearsAccenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services, and Accenture Song— all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities.Visit us at www.accenture.comYou will be aligned with our Network Operations vertical which ensures that we maintain a robust common integration framework to help communications clients address challenges, increase their margins, improve asset realization, improve customer service, increase revenues, reduce overall costs and accelerate sales cycles. The Telecom Operations team is involved in developing structures, processes, and capabilitiesÂ for managing and monitoring telecommunicationsÂ networks. The Customer Service Management team focuses on managing the organization's interaction with current and potential customers. The team is responsible for handling customer queries, enhancing customer satisfaction, ensuring customer retention and ultimately driving sales growth. The team is also responsible for improving business relationships with customers.Any Graduation""]",Customer ServiceAddCustomer Service ManagementAddIT Service ManagementAddOperationsAddTelecommunicationsAdd
Senior Dotnet Developer,Beyond360,"Noida, Uttar Pradesh, India",On-site,11-50 employees,18 on LinkedIn,169 applicants,Computer Software 11-50 employees 18 on LinkedIn,Full-time,"['Strong hands-on experience in .NET, C#, MVC, and REST API.', '', '', '', '', '', '', '', '', '', '', '']",.NET FrameworkAddC#AddEntity FrameworkAddFull-Stack DevelopmentAddLanguage Integrated Query (LINQ)AddMicrosoft AzureAddMicrosoft SQL ServerAddModel-View-Controller (MVC)AddREST APIsAddSoftware Development MethodologiesAdd
Senior Engineering Manager,Factoreal,"Bengaluru, Karnataka, India",Hybrid,11-50 employees,34 on LinkedIn,98 applicants,Computer Software 11-50 employees 34 on LinkedIn,Full-time,"['', '', '', '']",Agile Software DevelopmentAddAmazon Web Services (AWS)AddContinuous Integration and Continuous Delivery (CI/CD)AddEffort EstimationAddEngineering ManagementAddFull-Stack DevelopmentAddLearningAddMarketing TechnologyAddMicroservicesAddOperationsAdd
Communication Manager,Geeta Engineering,"Bathinda, Punjab, India",Hybrid,11-50 employees,22 on LinkedIn,1 applicant,Mechanical Or Industrial Engineering 11-50 employees 22 on LinkedIn,Full-time · Mid-Senior level,"['Developing communications plans and campaigns.', 'Monitoring the success of campaigns.', 'Overseeing all company communications.', 'Leading and training the communications staff.', 'Preparing detailed media activity reports.', 'Creating internal communications protocols.']",CampaignsAddCommunicationAddCorporate CommunicationsAddInternal CommunicationsAddMedia RelationsAddPress ReleasesAddPublic RelationsAddStrategic CommunicationsAdd
Manager - Pro Audio,Qube Cinema,"Mumbai, Maharashtra, India",On-site,"501-1,000 employees",881 on LinkedIn,59 applicants,"Music 501-1,000 employees 881 on LinkedIn",Full-time · Mid-Senior level,"['Educational Qualifications/ Experience· Min 4 to 5 years’ experience in professional audio products or products related to professional audio/ media industry.· MBA in marketing or general management will be an added advantage· Having good fundamental knowledge of Pro Audio concepts and technologies. Diploma/ Degree in sound engineering preferred.Roles and Responsibilities:· Should be able to lead and manage a team of pre-sales, sales and technical support staff.· Should be able to represent QUBE/Real Image on various internal and external forums.· Setting Goals and developing plans for business and revenue growth for self and team.· Creating and refining processes to improve efficiency in business – Internal and External.· Researching, planning, and implementing new audio target market initiatives. (example streaming audio, codecs, gaming etc.)· Coordinating with video, cinema and other teams as may be required for a project.· Self-motivated, go-getter, goal-oriented, and passion-driven.· Develop long-term relationship with Pro Audio customers in different segments – Recording Studios, Broadcasters, Musicians, Post Houses, etc.· Should be able to see through a project end to end, including internal and external coordination.· Responsible for achievement of set revenue and profitability targets for the territories represented.· Generate new sales leads, negotiate client pricing, forecasting sales revenue, maximise profitability.· Generating quotations and proposals for prospective clients.· Effectively use online and offline Marketing and Social Media tools ultimately aimed at Growing business.· Should be willing to travel whenever required· Good communication skills in English, Hindi· Position based out of Mumbai, Maharashtra.']",MarketingAudio EngineeringAddCommunicationAddEnglishAddForecastingAddHindiAddNegotiationAddPresalesAddQuotationsAddSocial MediaAdd
Technology Lead,Broadridge India,"Hyderabad, Telangana, India",On-site,"5,001-10,000 employees",793 on LinkedIn,171 applicants,"Financial Services 5,001-10,000 employees 793 on LinkedIn",Full-time,"[""At Broadridge, we've built a culture where the highest goal is to empower others to accomplish more. If you’re passionate about developing your career, while helping others along the way, come join the Broadridge team.Job DescriptionBroadridge, a Market Leader in the provision of Financial Solutions to Global Markets is looking for an experienced Application Support Team Lead to join an established managed application Support team located across Hyderbad and Bangalore. As part of Broadridge’s Global Technology Operations International division, the Product Support Team Lead will engender leadership, technical expertise and a Client-first attitude within the team providing support for ASTRID, Broadridge’s Global Asset Serving Solution.The team provides 24/6 operational support directly to ASTRIDs growing Client base, applying excellent Client facing problem solving and technical analysis to efficiently fulfil Client queries, resolve Incidents and investigate application defects whilst providing accurate status updates and record keeping within our service management platform. Primarily focused upon supporting and monitoring Production Services, you will also be required to coordinate and support the delivery of fixes and releases as they are delivered though User Acceptance Testing (UAT) and through to Production.Collaboration with other Broadridge teams is vital, especially when handling Incidents or urgent issues requiring coordinated triage with technical and business Analysts from the ASTRID Development and Product Management teams. As a positive and confident communicator, the Product Support Team Lead will be at ease discussing details and presenting findings to all levels, both internally and with the Clients.As a senior member of the team, delivering Client value and sustaining production stability will at the heart of everything you do. You will demonstrate consistent professional composure when dealing with Clients and Stakeholders, take natural ownership, persist a continuous improvement mindset, coaching the team around you and being a role model to more junior members of the team.""]",Acceptance TestingAddCommunicationAddUser Acceptance TestingAdd
