Job_Name,Company,Loaction,Job_type,Employees,Followers,Applicant,Industry,Invovlement,Job_Desception,skills
Software Engineer II (Backend),Nissan Motor Corporation,"Trivandrum, Kerala, India",On-site,"10,001+ employees","37,491 on LinkedIn",29 applicants,"Automotive 10,001+ employees 37,491 on LinkedIn",Full-time,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Apache KuduAddComputer ScienceAddDatabasesAddJavaAddTechnical PlanningAdd
Head of Technology,iHub Anubhuti-IIITD Foundation,"New Delhi, Delhi, India",On-site,11-50 employees,5 on LinkedIn,134 applicants,Non-profit Organization Management 11-50 employees 5 on LinkedIn,Full-time,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Cognitive ComputingAddCommunicationAddComputer ScienceAddData PrivacyAddIT StrategyAddProblem SolvingAddQuality AssuranceAddStrategic ThinkingAddTechnical LeadershipAddTechnology ArchitectureAdd
Platform Specialist I - Cyber Security,UST,"Thiruvananthapuram, Kerala, India",On-site,"10,001+ employees","30,433 on LinkedIn",38 applicants,"Information Technology & Services 10,001+ employees 30,433 on LinkedIn",Full-time · Entry level,"['Monitor investigate and provide meaningful resolution for tickets and issues across multiple customers for the specified SIEM or EDR type. Escalate accordingly issues observed to a team member if appropriate to ensure optimal performance of the platform supported.', 'Contribute to the evolution of the wider teams capabilities to help deliver CyberProof’s strategic vision for a global managed SIEM services.', 'Build strong relationships with customers and key stakeholders to ensure customer requirements and needs are fulfilled.', 'Take ownership of personal workload acting as a role model for peers. Continuously seek to improve the service offered to global customers.', 'A Subject Matter Expert for the respective technology being worked on both internally within CyberProof and for managed clients providing input for key in- life services within CyberProof.', 'Assist with service and change requests for platform types such as access requests as well as more targeted requests for specific modules on platform such as dashboard creation query support Investigation of more complex issues.', 'Proactively develop and maintain documentation and knowledge articles for wider members of the team relating to customers supported.', 'Ensure in-life requests are being actioned in a timely manner for self and junior roles.', 'Provide assistance and mentorship for global team members both within and outside the', ""Percent of Adherence to processes and methodologiesa.Percent of adherence to SLA's for in- life ticketing processesb.Percent of adherence to workflows and completeness of audit trail for all activities undertaken."", 'Productivity score maintaineda.Number of issues with early identification in case of problems with delivering tasks or workload.b.Number of issues with effective evidence provided for escalations during triage.', 'Number of identified opportunities implemented to enhance change and process documentation to ensure remain relevant for broader team.', 'Number: of relevant skill related training and development activities undertaken; evidenced by certification.', 'Show strong comprehension and experience with the specific SIEM or EDR platform that Specialist is working on.', 'Take the lead on identifying issues with the specified platform type or its supporting infrastructure.', 'Using technology identify and implement technical solutions to issues with queries/rules/dashboards/data feeds', 'Provide accurate updates to appropriate Service and Change Requests; ensuring an audit trail is preserved and SLAs are achieved.', 'Proactive identification of issues with behavioural analysis/patterns identified with suggestions and plans for achieving resolution.', 'Provide leadership and support to Junior members.', 'Comfortable and aware of the customers supported', 'Ensure relevant reporting metrics of customer information provided in a timely manner. Engage with customer/TAM/Project team where required.', 'Ensure customer specific processes are being followed.', 'Undertake mandatory and proactive learning and development opportunities.', 'Excellent communication skills with both internal and external stakeholders', 'Ability to be prepared to undertake background check/validation to ensure integrity.', 'Ability to work unsupervised with the assigned SIEM or EDR technologies and their supporting infrastructure', 'Aptitude in identification objectives and priorities for the broader team; identifying successes/failings', 'Capacity in working with multiple querying languages with the ability to have a full end- to- end set of skills from onboarding and parsing a log source to exploiting via analytics or rulesets.', 'Ability to have sufficient experience and confidence in target toolset to be able to provide mentoring to upskill junior members.', 'Capable of showing strong analytical skills working across multiple technologies and customers as well as sufficient competence to draft support documentation for internal or external use.', 'Experience in working with Security Operations and/or EDR/SIEM Platform Management roles.', 'An understanding of various Security Frameworks and Security controls with a focus on IT.', 'Multiple years of experience working as part of a MSSP style environment working with different customer types', 'Detailed knowledge of specific SIEM or EDR technology as well as how the capability can be utilised to support operations.', 'Experience and knowledge of how to utilise Big Data and Data manipulation.', 'Desirable: Certifications in IT infrastructure / SIEM / EDR / Ethical Hacking', 'Desirable: Academic qualifications and/or relevant work experience in lieu of qualifications.', 'Understand customer requirements and recommend best practices SIEM solutions· Offer consultative advice in security principles and best practices related to SIEM operations· Developing new SIEM rules, correlations, dashboards to meet the customer needs· Design and document a SIEM solution to meet the customer needs· Assist in the creation and verification of Statement of Work (SOW) documentation· Assist pre-sales with SIEM sizing, Architecture, RFP’s and client technical meetings· Deploy and configure the SIEM platform as per Vendor guidelines and industry Best Practices· Assist client with technical guidance to configure end log sources in-scope to be logged to the SIEM· Verification of data of log sources in the SIEM follow the Common Information Model (CIM)', 'Document the build of the SIEM solution Requirements:', 'Experience with Azure Sentinel SIEM platform.', 'University degree in information security or equivalent work experience· Minimum 4 years experience in a similar role· Preferred SIEM vendor certification of administrator· Experience and proficient in UNIX/Linux']",Build Strong RelationshipsAddData ManipulationAddIdentifying IssuesAddReporting MetricsAddSecurity ControlsAdd
Weblogic Admin,Tata Consultancy Services,"Chennai, Tamil Nadu, India",Hybrid,"10,001+ employees","551,901 on LinkedIn",59 applicants,"Information Technology & Services 10,001+ employees 551,901 on LinkedIn",Full-time · Mid-Senior level,"[""TCS has been a great pioneer in feeding the fire of Young Techies like you. We are a global leader in the technology arena and there's nothing that can stop us from growing together.TCS Hiring for Weblogic AdminExperience Range: - 4 to 8 YrsJob Locations : Pan IndiaJob Description· 4+ years of extensive experience in WebLogic administration for Production and non-PROD environments including clustering, Load Balancing and DR setup.· Strong experience in Installation, configuration, patching, performance tuning, LDAP, identity management and administration of WebLogic infrastructure· Candidate should have working knowledge to upgrade from Oracle Fusion middleware 11g to 12c along with WebLogic infrastructure· Additional Skill Set: Administration and configuration of Web Server like OHS etcMinimum Qualification:15 years of full-time educationInterested candidates kindly share your CV to Dhriti.katyal@tcs.com with below details for further discussionCurrent Location:Preferred Location:Current Organization:Total Years of exp:Relevant years of exp:Current CTC:Expected CTC:Notice Period:Any gaps/breaks in career/Education:Do you attended any interviews recently with TCS (YES/NO):Disclaimer: We encourage you to register at www.tcs.com/careers for exploring an exciting career with TCS. At the time of your application to TCS, the personal data contained in your application and resume will be collected by TCS and processed for the purpose of TCS's recruitment related activities.Your personal data will be retained by TCS for as long as TCS determines it is necessary to evaluate your application for employment as per our retention policy. You have the right to request TCS for temporary/permanent exclusion of your candidature from any recruitment related communication. For any such request you may write to careers.tcs.com.""]",CommunicationAddIdentity & Access Management (IAM)AddLDAPAddLoad BalancingAddMiddlewareAddOracle Fusion MiddlewareAddPatch ManagementAddPerformance TuningAddWebLogicAddWeblogic AdministrationAdd
Manager - Business Consulting PI - AMI - Supply Chain & Operations - Mumbai,EY,"Mumbai, Maharashtra, India",On-site,"10,001+ employees","360,229 on LinkedIn",78 applicants,"Information Technology & Services 10,001+ employees 360,229 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Asset BuildingAddBusiness Process MappingAddClient RelationsAddJob CoachingAddMinitabAddProcess ExcellenceAddProcess MappingAddStatistical AnalysisAddSupply Chain ConsultingAddSupply Chain ManagementAdd
RETI_FAM Associate,EY,"Trivandrum, Kerala, India",Full-time · Entry level,"10,001+ employees","360,229 on LinkedIn",111 applicants,"Information Technology & Services 10,001+ employees 360,229 on LinkedIn",Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",External ClientsAddMonitoring ServicesAddRoot CauseAddRoot Cause AnalysisAddService AvailabilityAddWritten CommunicationAdd
Business Development Executive,Freshworks,"Chennai, Tamil Nadu, India",Full-time · Entry level,"5,001-10,000 employees","7,503 on LinkedIn",Over 200 applicants,"Computer Software 5,001-10,000 employees 7,503 on LinkedIn",Full-time · Entry level,"['Qualify and prospect inbound leads generated by the lead generation team.', 'Be responsible to convert trial prospects to paid customers through enthusiastic customer engagement.', 'Own individual targets and work towards generating new revenue.', 'Collaborate with other appropriate internal teams and represent the customers to solve their business requirements.', 'Work with various internal stakeholders and achieve team targets.', '1-3 years of work experience in any customer-facing sales role.', 'Clear, concise, and effective written and oral communication skills.', 'Empathy towards customers and understanding their needs.', 'Interest, curiosity, and openness to learning new technologies.', 'Good interpersonal skills and ability to collaborate with internal stakeholders as well as end customers.', 'Learning mindset and the right attitude that will help you thrive and adapt in a fast-paced, performance-driven environment.', 'Flexibility in working in different shifts/regions. This is absolutely mandatory because you will be expected to work in a specific shift for a minimum of two years.', ""Prior work experience in SaaS product companies in domains relevant to Freshworks' suite of products."", 'The proven track record of consistency in overachieving targets.']",Lead GenerationBusiness RequirementsAddCommunicationAddCustomer EngagementAddGamificationAddInterpersonal CommunicationAddInterpersonal SkillsAddProduct MarketingAddSalesAddSales ProcessesAdd
Product Controller- Associate,JPMorgan Chase & Co.,"Mumbai, Maharashtra, India",On-site,"10,001+ employees","271,853 on LinkedIn",9 applicants,"Financial Services 10,001+ employees 271,853 on LinkedIn",Full-time,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Business InitiativesAddControl FrameworkAddE2EAddExecutive VisibilityAddFinancial ResultsAddInternal ControlsAddPart QualifiedAddProduct ControlAddStrategic ThinkingAddTeam BuildingAdd
Assistant Manager,EXL,"Noida, Uttar Pradesh, India",On-site,"10,001+ employees","27,523 on LinkedIn",Over 200 applicants,"Information Technology & Services 10,001+ employees 27,523 on LinkedIn",Full-time · Mid-Senior level,"['Basic knowledge of MS Office – MS Excel, Power Point, Word Doc, Outlook', 'Basic knowledge of calls recording system and its usage (NICE, Witness, etc) preferred', 'Understanding of QSD (Transaction Monitoring Methodology)', 'Knowledge of B-PROMPT (preferred)', 'Calibration on the audit parameters', 'Quality Scores', 'Minimum process specific skills defined for the associates in the process.', 'Ability to resolve conflicts constructively', 'Demonstrates ability to perform tasks in a timely and accurate manner', 'Fosters a spirit of collaboration and team work', 'Quantitative and qualitative ability', 'Conformance to policies / compliances with auditing skills and eye for details', 'Ability to coach and give feedback on an ongoing basis.', 'Good written and verbal communication Skills.', 'Graduate in any stream', 'As per IJP requirements', 'As per SRF requirements']",CommunicationAddCommunication TrainingAddConflict ResolutionAddMicrosoft OutlookAddOral CommunicationAddProcess ExcellenceAddSoft SkillsAddTransaction MonitoringAdd
Test Administrator_India,Pearson VUE,"Jalandhar, Punjab, India",On-site,"1,001-5,000 employees","2,394 on LinkedIn",51 applicants,"Information Technology & Services 1,001-5,000 employees 2,394 on LinkedIn",Full-time · Entry level,"[""Test AdministratorPearson VUE (www.pearsonvue.com) is the global leader in computer-based testing for information technology, academic, government and professional testing programs around the world. Pearson VUE provides a full suite of services from test development to data management and delivers exams through the world’s most comprehensive and secure network of test centers in more than 180 countries, where we validate the skills and knowledge of millions of individuals every year.Pearson VUE is a business of Pearson, the world's leading learning company with global-reach and market-leading businesses. Pearson is listed on both the London and New York stock exchanges (UK: PSON; NYSE: PSO).Pearson VUE offers a great environment to start or grow your career, we are now hiring for a Test Administrator to join our teamYour Health, Safety & Wellbeing during COVID-19As a responsible employer, at Pearson VUE we take the health, safety and wellbeing of our colleagues and test-taking candidates very seriously. At our company-owned test centers, we are following recommendations from the CDC and the World Health Organization for preventing the spread of COVID- 19 and protecting test candidates and our staff. Per the recommendations from global health organizations, we are implementing a strict cleaning regimen which includes providing hand sanitizer to test-taking candidates upon entering the test center and sanitizing the surface and equipment of each workstation after the end of every appointment. Any equipment used during the check-in process is also sanitized after every use. We are also implementing social distancing guidelines, which suggest 6 feet of space between individuals. Test centers may need to limit workstation availability to ensure that a safe distance can be maintained between candidates. We will continue to:· Make hand sanitizer available in the waiting area and prior to entering the testing room.· Increase our cleaning and disinfecting regimens in between all testing appointments.· Provide tissues to candidates upon arrival and permit candidates to wear a mask or disposable gloves if they choose.· Remind candidates to wash their hands or utilize hand sanitizer upon arrival at the test center.· Provide masks and hand sanitizer to Test Center staff.ResponsibilitiesThe Test Administrator position is responsible for providing a secure exam delivery and superior customer service in a comfortable friendly environment. In this position, you will be required to:● Comply with all testing procedures and strictly adhere to company policies using careful judgment● Check in testing candidates, verify identification, and explain the exam process● Proctor / invigilate candidates while testing● Troubleshoot with internal departments to fix technical issuesSchedule RequirementsOur ideal candidate demonstrates teamwork, with the availability to work a variety of shifts any day - Monday through Saturday - between the hours of xx am and xx pm. Candidate must be open to flexible scheduling.This is strictly a Full time position and will remain as such, xx-xx hours per week, with an expectation to work more hours if needed.Schedules are available at least 2 weeks in advance.Qualifications● High school diploma or equivalent is required● Minimum of 1 year customer service experience is preferred● Experience proctoring or invigilating exams is highly preferred● Must be flexible in work hours and days● Beginner to intermediate experience in Microsoft Office (Word, Excel and Outlook)● Must be able to sit for long periods of time and also escort candidates to and from testing room. Must be able to bend, stoop and lift up to 20 lbs with reasonable accommodation.● Must be comfortable in a quiet testing environment, hear soft voices and see details from a distance.""]",AdministrationAddCustomer ExperienceAddCustomer RetentionAddCustomer SatisfactionAddCustomer ServiceAddCustomer SupportAddCustomer-focused ServiceAddFlexible ApproachAddOperations ManagementAddTest ManagementAdd
Java Technical Architect-SM,Cognizant,"Chennai, Tamil Nadu, India",On-site,"10,001+ employees","315,222 on LinkedIn",19 applicants,"Information Technology & Services 10,001+ employees 315,222 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Client PresentationAddConcept GenerationAddContainer OrchestrationAddDesign ReviewAddEnterprise Solution DesignAddGoogle Cloud Platform (GCP)AddMicroservicesAddMicrosoft AzureAddTechnical Solution DesignAddTechnology ConsultingAdd
Area Sales Manager,Astral Adhesives,"Kozhikode, Kerala, India",On-site,"1,001-5,000 employees",387 on LinkedIn,Over 200 applicants,"Building Materials 1,001-5,000 employees 387 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Account ManagementAddChemical IndustryAddDealer ManagementAddFast-Moving Consumer Goods (FMCG)Add
Partner Account Operation Manager,HP,"Hyderabad, Telangana, India",Hybrid,"10,001+ employees","135,494 on LinkedIn",Over 200 applicants,"Information Technology & Services 10,001+ employees 135,494 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Business RequirementsAddPerformance ReviewsAddRevenue Cycle ManagementAdd
Java Trainer,Larsen & Toubro,"Chennai, Tamil Nadu, India",On-site,"10,001+ employees","130,512 on LinkedIn",60 applicants,"Construction 10,001+ employees 130,512 on LinkedIn",Full-time,"['Roles and ResponsibilitiesIndustry Type: Education & Training.Role Category: Training Professional / Talent Development Professional.• Role: Master Trainer / Training Specialist Java Full Stack• Employment Type: Full Time / Contract / Third Party Contract· Experience: 10 to 20 YrsDesired Candidate ProfileCore Languages: Java 8 (or) later version• Server-Side Technologies: Java Enterprise Edition, Eclipse (IDE), Servlets, Spring MVC, Spring Core, Spring Boot, Webservices (REST API and SOAP), Hibernate or JPA, ORM & Spring Security, Node JS, Express JS.• User Interface Designing Skills: HTML5-CSS3, JavaScript, jQuery, Ajax & Bootstrap, JDBC. Prefer to have added skills on Angular JS or React JS)• Database: Knowledge SQL (MS SQL Server) and NoSQL (MongoDB)• Prototyping tools: Figma, Invision Studio • Design Patterns: Singleton, Factory, Builder, Facade, Pub-Sub, MVC, etc.• Version Control Systems: GIT & GIT Hub (most Popular) or another Version Control System/Software (VCS).• Application Servers: Tomcat or WebLogic or WebSphere• Unit Testing Frameworks: J Unit, TestNg, xUnit • CI/CD tools: Maven & Jenkins• Cloud : Cloud foundation, Azure devops, Docker & kubernetes• Knowledge and experience in Multithreading & Microservices']",Jakarta PersistenceAddJavaAddJava Database Connectivity (JDBC)AddJavaScriptAddJenkinsAddMicrosoft SQL ServerAddMongoDBAddNoSQLAddSpring BootAddTomcatAdd
Specialist Software Engineer,NICE,"Pune, Maharashtra, India",On-site,"5,001-10,000 employees","6,725 on LinkedIn",14 applicants,"Computer Software 5,001-10,000 employees 6,725 on LinkedIn",Full-time · Entry level,"['7+ years of software development experience', 'At least 4+ years of working experience in Core Java, proficient with Java algorithms and data structures', 'Worked in high performance, highly available and scalable systems', 'Strong experience with J2EE, Spring Framework, IOC, annotations', 'Experience in any object-relational mapping (e.g. Hibernate)', 'Strong knowledge of OOAD and Design patterns', 'Development experience building solutions that leverage SQL and NoSQL databases', 'Strong Development experience creating RESTful Web APIs', 'Experience designing and developing scalable multi-tenant SaaS-based solutions', 'Experience with public cloud infrastructure and technologies such as AWS/Azure/GCP etc', 'Development experience in JavaScript, Angular/ReactJS, Java Server Pages, Java Server Faces will be added plus', 'Experience working in and driving Continuous Integration and Delivery practices using industry standard tools such as Jenkins', 'Experience working in an Agile methodology development environment and using work item management tools like JIRA', 'Experience with version control tools – GIT, Perforce', 'Ability to work independently and collaboratively, good communication skill', 'Bring a culture of Innovation to the job', 'Ability to work under high pressure', 'High attention to details and accuracy']",AlgorithmsAddComputer ScienceAddCore JavaAddData StructuresAddJavaAddObject-Relational Mapping (ORM)Add
"Strategy and Operations Lead, Google Operations Center, gTech",Google,"Hyderabad, Telangana, India",On-site,"10,001+ employees","327,944 on LinkedIn",Over 200 applicants,"Computer Software 10,001+ employees 327,944 on LinkedIn",Full-time · Mid-Senior level,"[""Bachelor's degree or equivalent practical experience."", '8 years of experience in management consulting, corporate strategy, sales operations, investment banking/private equity, or venture capital.', '', '', '', '', '', '', '', '']",Analytical SkillsAddBusiness InsightsAddBusiness LeadershipAddCommunicationAddCorporate StrategyAddInterpersonal SkillsAddInvestment BankingAddManagement ConsultingAddOperational PlanningAddVenture CapitalAdd
Market Strategy Planning Manager,A.P. Moller - Maersk,"Bengaluru, Karnataka, India",Hybrid,"10,001+ employees","53,838 on LinkedIn",Over 200 applicants,"Transportation/Trucking/Railroad 10,001+ employees 53,838 on LinkedIn",Full-time · Mid-Senior level,"['JOB DESCRIPTION FOR MAKETING STRATEGY PLANNER, IMSA Strategy and Communication Planner with 10+ year of experience in marketing and advertising with reputed agencies and firmsAbout the JobThe IMS – Integrated Marketing Services supports the Global and Regional communication requirements, developing strategy, global & regional campaigns, tactical assets and regional adapts.IMS comprise 5 teams, namely insights, project, creative, digital (web+ Automation), and operation team. We are looking for a strategy planner with experience in communication and advertising, who is an enthusiast to impact Maersk business growth as a part of the IMS TeamTo know more about everything that Maersk does, visit us at www.Maersk.com. Follow us on LinkedIn, Facebook, Instagram and TwitterWhy we are looking for you.• You are inherently curious, enthusiastic, and resourceful Marketing and communication planner• You are detail-oriented and can bring insights to life through sharp presentation skills.• You can connect data and customer insight to create insightful conclusions• You know the value of collaboration and believe it’s at the heart of everything you do• You are equally passionate about learning• You understand and appreciate the term customer centricity• You thrive in information rich environments that need you to consume and process new information at a quick pace• You understand the blurring of the lines of B2C, B2B and know that it’s all human behaviorWhat you will enjoy in this role• You will be part of a Global Marketing Team within Maersk.• You will get a chance to work, collaborate and learn with some of the best marketing and customer insight’s professionals across the Globe• As part of Maersk IMS- Marketing Strategy & Communications team you will be voice of customers across geography and business verticals• Within IMS you will work with group of young, talented, and highly passionate colleagues• You will be working in a culture where your growth and ambitions would be in your hands• You will be working in an environment where your leadership team is more of mentors than managersWhat you will doPlay a key role in ensuring that our marketing communication activities continue to be insights based hence you will take the lead in identifying knowledge gaps, best practice sharing, initiating research together colleagues in the Insights team & developing future Value Propositions through your findings.• Ensure the voice of our customer is reflected in our marketing & communication efforts• Develop unique POVs based on insights and trends to guide stakeholder marketing and communication strategy using first and third-party data• Design, plan, execute and report on customer interviews and research• Create strong presentations of customer insights influencing decision makers and creative briefing• Develop campaign and communication strategies to support global and local campaigns and develop actionable insights for creative team and marketersExperience & Qualifications• 10+ years relevant work experience in communication strategy and planning/category management/digital planning preferably in an agency environment• Analytical and able to deliver clear recommendation based on data and research• A team player with strong communication skills, enabling you to engage and influence marketers• Someone who has a strong drive, can work independently, but at the same time is a strong team player, leveraging the experience of all members of the team when supporting the business.• Someone with great project management skills who can manage complex projects and multiple stakeholders• Someone with quantitative and qualitative research skills• Ability to participate and manage projects that involve stakeholders from multiple disciplines (such as data analytics, creative, strategy, research, etc.) in different locations.• Empathy, belief in the power of teamwork and the good intent of people']",CommunicationAddCreative Market Planning & ExecutionAddMarket PlanningAddMarketing StrategyAddStrategic CommunicationsAddStrategic PlanningAdd
Associate Manager - Sales,PepsiCo,"Peerancheru, Telangana, India",On-site,"10,001+ employees","105,942 on LinkedIn",143 applicants,"Food & Beverages 10,001+ employees 105,942 on LinkedIn",Full-time · Mid-Senior level,"['Research, solve, and advise on technical issues relative to local data sources and defined relational databases', 'Adhere to technical standards for server and delivery platforms – This may involve multiple complex platforms at one time and the consultation of same with BIS teams to resolve technical issues', 'Practice best practices for acquisition and alignment of data including new data platforms', 'Support projects to enhance data discovery, processes, testing, and acquire data from multiple platforms. Apply detailed working knowledge of PepsiCo’s applications and their interaction with system transactions, master data, and business analytics towards root cause problem-solving', 'Participate in PepsiCo IT governance compliance processes specifically for business teams in order to meet PepsiCo IT governance rules and design best practices', 'Participate in project planning sessions with key stakeholders to analyze business opportunities and define end to end business processes. Translate operational requirements into design elements in order to organize and present data in an actionable manner', 'Undergrad degree in Business or related technology', 'Working experience in SQL', 'Some working experience or familiarity with data warehouse design, data architecture/engineering or related science', 'Preferred qualifications:', 'Information technology or analytics experience is a plus', 'Familiarity with Power BI/ Tableau, R/ Python, Teradata, Azure', 'Requires a level of analytical, critical thinking, and problem solving skills as well as great attention to detail']",Attention to DetailAddBusiness AnalyticsAddBusiness ProcessAddCritical ThinkingAddIT GovernanceAddOperational RequirementsAddProblem SolvingAddProject PlanningAddSkilled Multi-taskerAddTechnical StandardsAdd
Application Owner,Wipro,"Mumbai, Maharashtra, India",On-site,"10,001+ employees","300,440 on LinkedIn",109 applicants,"Information Technology & Services 10,001+ employees 300,440 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']",Business AnalysisAgile MethodologiesAddDefect ManagementAddDevOpsAddJSONAddJiraAddMicroservicesAddRoot Cause AnalysisAddSoftware DevelopmentAddTechno-FunctionalAdd
Executive Assistant (ENR),Burns & McDonnell India,"Mumbai, Maharashtra, India",Full-time,"1,001-5,000 employees",892 on LinkedIn,192 applicants,"Management Consulting 1,001-5,000 employees 892 on LinkedIn",Full-time,"['Uphold a strict level of confidentiality.', 'Assist in preparing marketing collateral for the division.', 'Maintain schedule of key events for department and divisional management, travel, visitors, corporate meetings and deadlines.', 'Answer and respond to phone calls, communicate messages and information to the executive.', 'Maintain various records and documents for company executive(s)', 'Assist in division presentations, newsletters, and coordination of events.', 'Assist with onboarding and welcoming new joinees to the division and knowing company policies.', 'Assist with scheduling trainings, auditing training records, and maintaining documentation for the division.', 'Arrange division events to take place outside of the workplace.', 'Cultivate positive relationships and professionalism among the division, company, and clients.', 'Bachelor’s Degree in any field or specialized Administrative Assistant Course.', 'Must have 10 years of relevant experience.', 'U phold high integrity and honesty', 'High level of attention to detail', 'Strong listener and memory', 'Advanced Microsoft Office skills, with an ability to become familiar with firm-specific programs and software', 'Strong spoken and written English and spoken Hindi and Marathi communication.', 'Proficiency in collaboration and delegation of duties.', 'Strong organizational, project management and problem-solving skills with impeccable multi-tasking abilities.', 'Exceptional interpersonal skills', 'Friendly and professional demeanor']",Administrative AssistanceAddAttention to DetailAddConfidentialityAddCorporate MeetingsAddDelegationAddExecutive SupportAddHindiAddInterpersonal SkillsAddPresentationsAddSolid Professional StandardsAdd
Software Engineering - Sr Engineer,FICO,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,"1,001-5,000 employees","3,473 on LinkedIn",16 applicants,"Computer Software 1,001-5,000 employees 3,473 on LinkedIn",Full-time · Mid-Senior level,"['Design, develop, deploy and support capabilities of large world-class enterprise-level cloud platform.', 'Participate in architectural design of platform capabilities.', 'Develop high level development timelines based on project scope and understanding of the existing application code.', 'Evaluate new design specifications and raise quality standards, address architectural concerns.', 'Evaluate stability, compatibility, scalability, interoperability, and performance of the platform.', 'Maintain and upgrade platform source code.', 'Demonstrate technical expertise through publication, presentations, white papers and event participation.', 'Serve as a source of technical expertise and mentor junior team members.', '8+ years of experience', 'Bachelors or Master’s Degree in Computer Science', 'Experience in full stack java related development in building testable enterprise grade platform and applications using open source technologies', 'Experience in Low Level Design, Development, Design Patterns, Object oriented design, layered architectures, distributed systems and Micro-services architecture.', 'Strong Knowledge on Java 8+ and Microservices is a must.', 'Experience with Data stores such as MongoDB, Containers, and Cloud-native technologies such as Docker, Kubernetes, etc', 'Experience with any messaging infrastructure (Kafka, Artemis Active MQ)', 'Experience with OIDC authentication and Keycloak is a plus', 'Experience in use of source code management system GIT and build tools like maven, Gradle.', 'Good experience on unit test framework like Junit, Mockito and code coverage tools like SonarQube/JaCoCo', 'Understands the fundamentals of agile methodologies – TDD and Scaled Agile Framework® (SAFe®)', 'Experience using tools such as Jira, Git, GitHub, Jenkins.', 'Critical thinkers/working with Team', 'Good written and verbal communication skills, Documentation skills needed/ Swagger a plus', 'Credit Scoring — 150+ billion FICO Scores have been sold to date, making it the most used credit score in the world.', 'Fraud Detection and Security — 2.6+ billion payment cards globally are protected by FICO fraud systems.', 'Lending — 3/4 of US mortgages are approved using the FICO Score.', 'Anti-Money Laundering — our solutions check more than half a billion transactions a day to prevent criminal schemes such as terrorist financing']",Computer ScienceAddDesign PatternsAddGradleAddJavaAddLow-Level DesignAddMicroservicesAddObject Oriented DesignAddObject-Oriented Programming (OOP)AddOpen-Source SoftwareAddWhite PapersAdd
Manager-RAN,Vodafone Idea Limited,"Indore, Madhya Pradesh, India",Hybrid,"10,001+ employees","31,979 on LinkedIn",167 applicants,"Telecommunications 10,001+ employees 31,979 on LinkedIn",Full-time · Associate,"['Maintenance and Improvement of Voice and Data Service KPIs', 'Monitoring of KPIs on various granularities and maintain the KPIs thresholds', 'New Feature and Parameter testing and implementation', 'Detection of Network Issues and Co-ordination with Field team & Cross-functional team for early resolution.', 'Support for CXX (Customer Perception) improvement by correction/improvement in KPIs', 'Support to Field team for KPIs analysis on complex issues', 'Golden Route and Hot Spot Management', 'Manage Special Events', 'Theoretical and Practical working RF knowledge of 4G/3G/2G to sustain and improve the Voice and Data KPIs ; more Experience on LTE.', 'RF associated working knowledge of Tx and Core Nodes', 'Understanding of Advanced Parameters & Features and Tuning', 'OSS Report Analysis', 'Analytical Thinking and Proactive Approach', 'Good communication skills', 'Building Team Commitment', 'Essential : BE – Electronics/CS/IT', 'Work experience :']",3GAddAnalytical SkillsAddCommunicationAddKey Performance IndicatorsAddReports AnalysisAddSpecial EventsAdd
Human Resources (HR) work from home job/internship at Yoho Biz,Yoho Biz,India,Remote,11-50 employees,9 on LinkedIn,74 applicants,Marketing & Advertising 11-50 employees 9 on LinkedIn,Part-time · Internship,"['', '', '', '']",Human Resources (HR)CommunicationAddEmployee RelationsAddHR ManagementAddHR PoliciesAddJob BoardsAddNew Hire OrientationsAddProblem SolvingAddResource ManagementAddSocial MediaAdd
