Job_Name,Company,Loaction,Job_type,Employees,Followers,Applicant,Industry,Invovlement,Job_Desception,skills
CIB Banking Senior Control Management Officer,Wells Fargo,"Bengaluru, Karnataka, India",On-site,"10,001+ employees","206,991 on LinkedIn",4 applicants,"Financial Services 10,001+ employees 206,991 on LinkedIn",Full-time · Mid-Senior level,"['Status tracking (aggregate and individual) and reporting across RAUs', 'Log, track and follow up on all shared control requests', 'Compile, input and track change requests in Risk and Control Self-Assessment (RCSA) system of record; Shared Risk Platform (SHRP)', 'Review controls for deficiencies and associated remediation (e.g. procedures gaps, rewriting control design and performance rationales to meet standards, rewriting MCR rationales to standards', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",CommunicationEasily AdaptableAddEnterprise RiskAddInternal ControlsAddRCSAAddRelationship BuildingAddRewritingAddRisk FrameworksAddStatus TrackingAddTeamworkAdd
Lead Software Engineer,Wells Fargo,"Bengaluru, Karnataka, India",On-site,"10,001+ employees","206,991 on LinkedIn",7 applicants,"Financial Services 10,001+ employees 206,991 on LinkedIn",Full-time · Mid-Senior level,"['About the Role This position is for Hogan Deposits team and is a senior lead engineer role responsible for providing technical direction & leadership to a team of developers. The Hogan Deposits team works with all Hogan applications, applications outside of Hogan and various business lines.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",CommunicationBusiness RequirementsAddCOBOLAddFunctional DesignAddIBM Db2AddJob Control Language (JCL)AddProgrammingAddTechnical ConsultationAddTechnical SpecsAddVSAMAdd
Cognos BI,IDESLABS PRIVATE LIMITED,"Hyderabad, Telangana, India",On-site,51-200 employees,102 on LinkedIn,2 applicants,Information Technology & Services 51-200 employees 102 on LinkedIn,Full-time · Entry level,"['Greetings from IDESLABS,This is Krishna We have Immediate Openings on "" Cognos BI"" For Client WIPRO PAN INDIA LocationJob Details4-12 YearsPAN INDIAImmediate Joiners: C2HPlease Share your Updated CV\'s :Sandeep:Swarna:ArunCreating, enhancing and maintaining Framework Manager models to support business requirementsWorking with business users to design and develop Cognos BI 11 reports using Report Studio with data drill-down and slice-and-dice optionsDevelop and implement test plans to ensure successful delivery of a projectDesign and develop complicated reports including sub-reports, graphical reports and well-formatted reports according to user requirements.Define and follow Cognos development best practicesManage report security, folder security, database row level security, report schedules and distributionIf you are interested, Please Share below details and Updated ResumeFirst Name:Date of Birth:Pass Port No and Expiry Date (Mandatory ) :Relevant Experience:Expected CTC:Current Location:Preferred LocationPayroll Company:Holding any offer:RegardsIDESLABS - Consulting Services']","Analytical SkillsData ModelingExtract, Transform, Load (ETL)Microsoft Power BIBusiness Data ManagementAddData WarehousingAddPL/SQLAddSAP BusinessObjectsAddSQL Server Reporting Services (SSRS)AddUser RequirementsAdd"
Full Stack Solution Designer,Alcon,"Bengaluru, Karnataka, India",Hybrid,"10,001+ employees","23,772 on LinkedIn",3 applicants,"Medical Device 10,001+ employees 23,772 on LinkedIn",Full-time · Entry level,"['Cradle to Grave Solution Leadership: Ultimate accountability and oversight for driving solutions from cradle to grave for a given domain by providing expertise and oversight to solution engineers and architects who are intimately familiar with the application architectures within their specific domain', 'Buy vs Build Analysis: In depth experience in performing Buy vs Build analysis based on the qualitative and quantitative analysis across the available options to provide a final recommendation based on the rationale', 'Architecture and design reviews: Play a key role in architecture design reviews and identify gaps and recommend design changes. Actively lead and participate in the Architecture community to drive modernization opportunities for the advancement of Digital technology while keeping in mind the complexities of our IT landscape', 'Develop Reference architecture and implementation: Providing leadership, coaching and guidance to domain architectures for cloud-native applications to be applied,', 'Application profile identification: Leverage significant technical expertise and domain knowledge to identify Alcon apps targeted for refactor and optimization for cloud', 'Proof of concept technology support: Lead and drive proofs-of-concept and technology deep-dives specific to partner technologies', '“Roll up your sleeves and help clear technical roadblocks”: Advise and assist App development teams with technical roadblocks such as performance challenges within a solution', 'Cost optimization identification: Engage with appropriate stakeholders to recommend or assess opportunities to drive cost efficiencies aimed at simplicity, configurability and eventual elimination of technical debt associated with PSS applications.', 'Best in class technical subject matter expertise and domain knowledge', 'SME level understanding of cloud design and architecture for one or more public cloud provider (Azure, AWS, GCP) to deliver large-scale distributed solutions across the full enterprise stack', 'SME level technical skills in the following areas: application and integration architecture, security and automation along with a working knowledge of IT operations', 'SME level understanding of APIs and microservices-based architecture is a must', 'Domain Driven Design:', 'Map the domain scope to Bounded Contexts /Microservices', 'Conduct Event Storming to define Strategic Design', 'Define road map based on the value realization', 'Experience working with technologies that work as glue between modern apps and legacy infrastructure leveraging streaming platforms', 'Ability to collaborate with Digital, IT, EA, Ops and Security to deliver solutions', 'Experience in enterprise development tools and methodologies (XP, Agile) including DevSecOps and DataOps', 'Hands-on technologists with coding skills and proficient in modern technology stacks (Cloud, DevOps, Angular, Java, and React)', 'Understanding of both SQL and NoSQL database technologies', 'Demonstrable hands-on experience is a must', 'Facilitates adoption of cloud-native/cloud-first architectures.', 'Experience integrating with legacy mainframe/mid-range AS400 applications including developing roadmaps for modernization of the applications', 'Ability to teach and upskill talent within the organization.', 'Thought leadership and mentoring', 'Excellent communication', 'Deep collaboration skills. Ability to work as a team player seeking alignment and able to influence outcomes through hands-on demonstration of cloud capabilities.']",AngularAddCloud-Native ApplicationsAddData OperationsAddIBM iSeriesAddIntegration ArchitectureAddMainframeAddMicroservicesAddQuantitative AnalyticsAddReference ArchitectureAddSoft SkillsAdd
Territory Manager,Reliable Allied Services,"Faridabad, Haryana, India",On-site,11-50 employees,95 on LinkedIn,Null,Management Consulting 11-50 employees 95 on LinkedIn,Full-time · Mid-Senior level,"['Communication in English, Hindi other Regional Language (Local candidate will be preferred)', 'Keen to work in a highly competitive environment', 'Right attitude never say- die mind-set', 'Achieving the given sales targets']",CommunicationAccount ManagementAddCustomer SatisfactionAddInsurance PoliciesAddRPDAddSales ManagementAddSales OperationsAddSales PresentationsAddSales ProcessesAddSales TargetsAdd
Lead Software Engineer,Wells Fargo,"Hyderabad, Telangana, India",On-site,"10,001+ employees","206,991 on LinkedIn",11 applicants,"Financial Services 10,001+ employees 206,991 on LinkedIn",Full-time · Mid-Senior level,"['About the Role This position is for Hogan Deposits team and is a senior lead engineer role responsible for providing technical direction & leadership to a team of developers. The Hogan Deposits team works with all Hogan applications, applications outside of Hogan and various business lines.', 'Demonstrated ability to translate business requirements and functional design into technical implementation.', 'Develop and maintain Hogan programs to specifications. Includes development of COBOL, JCL, IMS and DB2 programs on HOGAN platform. Perform unit testing and ensure functionality meets the business requirements.', 'Mentor junior team members to help them deliver the work assigned to them and train them to uplift the capability.', 'Provides technical consultation and support in the development of computer applications and programs.', 'Analyzes business requirements, designs and writes technical specifications to design or redesign computer solutions.', 'Develops original and/or complex code - assists in preparing programming specifications and completes programming tasks to maintain or modify current programs or to develop less complex computer programs using COBOL and Hogan language tools.', 'Leads and/or performs modeling, simulations and analysis efforts for assigned projects.', 'Verifies program logic by overseeing the preparation of test data, testing and debugging of programs.', 'Participates in overall systems testing during the development SDLC phase.', 'Confirms the migration of application code to the production environment after releases are installed.', 'Develops new documentation, participates in the development of department technical procedures and designs user guidebooks as needed. These documents include restart instructions and flow diagrams.', 'Should have experience working with Waterfall and Agile development methods', 'Essential Qualifications', 'Technology oriented B.E/B Tech Degree or equivalent advanced degree', '5+ years of experience in HOGAN, preferably in IDS', '14+ years of experience in programming using COBOL, JCL, IMS, DB2, VSAM.', 'Technical expertise in Sort, REXX, Fileaid, Omegamon, Abend-aid, Endeavor/Changeman, Easytrieve etc.', 'Good experience in leading large to medium projects from the mainframe-end', 'Exposure to mainframe modernization', 'Sound analytical skills', 'Excellent communication & organizational skills', 'Proactive and can work independently']",CommunicationBusiness RequirementsAddCOBOLAddFunctional DesignAddIBM Db2AddJob Control Language (JCL)AddProgrammingAddTechnical ConsultationAddTechnical SpecsAddVSAMAdd
Branch Manager / Area Manager - Agency | Life Insurance - North Zone,Lavya Associates HR Services,"Chandigarh, Chandigarh, India",On-site,51-200 employees,107 on LinkedIn,3 applicants,Human Resources 51-200 employees 107 on LinkedIn,Full-time,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",CommunicationAssessmentAddInsurance PoliciesAddMarketingAddNegotiationAddPerformance ReviewsAddPersistenceAddProfessional NetworkingAddSalesAddTeam LeadershipAdd
Lead Software Engineer,Wells Fargo,"Chennai, Tamil Nadu, India",On-site,"10,001+ employees","206,991 on LinkedIn",4 applicants,"Financial Services 10,001+ employees 206,991 on LinkedIn",Full-time · Mid-Senior level,"['Proven hands-on development expertise in Data warehousing ETL stack and Big Data technology stack including Hadoop, Hive, Python, Java/Scala, SPARK, Tableau, AtScale etc.', 'Lead and perform current state data assessments and contribute to future state vision.', 'Contribute to and implement Data Strategy for private and public cloud.', 'Conduct deep analysis of data movement across multiple and diverse data platforms, including big data (Hadoop, Spark), NoSQL (MongoDB), traditional RDBMS (Oracle, SQL Server, Teradata, etc.) and mainframe (VSAM).', 'Develop a comprehensive understanding of data lineage and usage patterns from external vendors through internal systems or origin (SOO), systems of record (SOR), operational data platforms, Authorized Provisioning Points (APP) and reporting & analytics.', 'Conduct analysis for metadata availability and completeness for applications along the data pathway (data lineage). Identify and remediate gaps in technical and business metadata, improve usability of Enterprise data assets.', 'Design reusable frameworks for data engineering and establish architecture patterns for data engineering across traditional and big-data solutions, based on insights gained during current state data assessments', 'Advanced level expertise in building high performance data and analytical products', 'Ability to conduct technical training sessions for technical and business users', 'Partner with Line of Business and Technical leaders to design and implement data solutions for data pipeline, ingestion, conformance and fit for purpose use cases.', 'Partner with Enterprise data teams and Line of Business partners on customer-centric view of the data, data reuse, and data consistency across all customer interactions', 'Collaborate with Enterprise Data organization on supplying and governing Consumer data going into Authorized Provisioning Points (APP), including the Enterprise Data Lake.', 'Establish data standards and governance across CSBBL. Manage data as a strategic asset and operationalize data governance, data quality, and controls across the organization', 'Introduce and propagate modern Engineering practices around Data including reusable/configurable data pipeline, data quality controls, data access controls, and automation of data-related processes', 'Drive consistency, efficiencies, and cost benefits through establishing and continuously improving Data Integration practices and standards', 'Experience driving significant maturity improvements in low-maturity technology environments (experience consulting teams, experience collaborating across enterprise to mature technology solutions, experience delivering production great modern capabilities, experience delivering in Agile environment).', '10+ years of Analytics and Reporting, Financial Modeling, Statistics, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, education', '7+ years of experience with complex data analysis across multiple applications and database platforms, including external data sources (vendors), internal SOO/SOR, and data analytics & reporting.', '5+ years of technical leadership or architecture experience, in a data and technical environment to include Data Engineering, Data Management, ETL, Big Data Hadoop, and AI/ML capabilities', ""A Bachelor's or advanced degree in Data Science, Statistics or other relevant field"", ""10+ years' software engineering experience in Big Data Engineering, Application Support and/or Technology Operations"", '3+ years of experience with Agile practices', 'End-to-End data, analytics and machine learning technology and business acumen experience in Data Warehousing, ODS, Big Data platforms and related technology stacks such as ETLs, Python, Spark, Hive and cloud native data capabilities', 'Ability to implement data and analytics capabilities and mindset at scale']",AnalyticsData AnalysisData AnalyticsData EngineeringAddData StandardsAddDatabasesAddHigh Performance Computing (HPC)AddHiveAddODSAddSoftware DevelopmentAdd
Assistant Manager-Human Resources,Westin Hotels & Resorts,"Goa, Goa, India",Hybrid,"5,001-10,000 employees","7,597 on LinkedIn",112 applicants,"Hospitality 5,001-10,000 employees 7,597 on LinkedIn",Full-time · Mid-Senior level,"['High school diploma or GED; 2 years experience in the human resources, management operations, or related professional area.', '2-year degree from an accredited university in Human Resources, Business Administration, or related major; no work experience required.', 'Assists in the interviewing and hiring of Human Resource employee team members with the appropriate skills, as needed.', 'Assists in establishing and maintains contact with external recruitment sources.', 'Attends job fairs and ensures documentation of outreach efforts in accordance with Human Resource Standard Operating Procedures.', 'Networks with local organizations (e.g., Hotel Association and peers) to source candidates for current or future openings.', 'Assists in monitoring candidate identification and selection process.', 'Performs quality control on candidate identification/selection.', 'Works with the unemployment services provider to respond to unemployment claims; reviews provider reports for accuracy and corrects errors.', 'Assists with unemployment claim activity reports.', 'Attends unemployment hearings and ensures property is properly represented, as needed.', 'Assists with departmental orientation program for employees to receive the appropriate new hire training to successfully perform their job.', 'Ensures employees are cross-trained to support successful daily operations.', 'Assists with coordination and facilitation of new hire orientation program to generate a positive first impression for employees and emphasize the importance of guest service in company culture.', 'Ensures attendance by all new hires and participation of the leadership team in training programs', 'Assists with ensuring departmental orientation processes are in place and employees receive the appropriate new hire training to successfully perform their job.', 'Assists in maintaining effective employee communication channels in the property (e.g., develops daily communications and assists with regularly scheduled property-wide meetings).', 'Reviews progressive discipline documentation for accuracy and consistency, and checks for supportive documentation and is accountable for determining appropriate action.', 'Utilizes an “open door” policy to acknowledge employee problems or concerns in a timely manner', 'Ensures employee issues are referred to the Department Manager for resolution or escalated to the Director of Human Resources/Multi-Property Director of Human Resources.', 'Partners with Loss Prevention to conduct employee accident investigations, as necessary.', 'Communicates performance expectations in accordance with job descriptions for each position.', 'Assists with ensuring employee files contain required employment paperwork, proper performance management and compensation documentation, are properly maintained and secured for the required length of time.', 'Assists with ensuring compliance with procedure for accessing, reviewing, and auditing employee files and ensure compliance with the Privacy Act.', 'Assists with ensuring medical records are maintained in a separate, secure and confidential medical file.', 'Facilitates random, reasonable belief and post accident drug testing process (in properties where applicable).', 'Communicates property rules and regulations via the employee handbook.', 'Assists with ensuring all safety and security policies (e.g., property removal, lost and found items, blood borne pathogens, accident reporting, and hygiene) are communicated to employees on a regular basis through orientation, property meetings, bulletin boards, etc.', 'Assists with periodic claims reviews with Regional Claims office to ensure claims are closed in a timely manner and reserve levels are appropriate for open claims.', 'Assists with managing Workers Compensation claims to ensure appropriate employee care and manage costs.']",Accident InvestigationAddCompensation ManagementAddEmployee FilesAddEmployee Learning & DevelopmentAddEmployee RelationsAddHR PoliciesAddHuman Resources (HR)AddNew Hire OrientationsAddNew HiresAddPerformance ManagementAdd
Excellent Opportunity - Account Managment/Business Developemnt-Banglore,Best Infosystems Ltd.,"Bengaluru, Karnataka, India",On-site,51-200 employees,307 on LinkedIn,Null,Staffing & Recruiting 51-200 employees 307 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '']",CommunicationAccount ManagementAddBusiness DevelopmentAddBusiness StrategyAddMarketingAddNegotiationAddNew Business DevelopmentAddStrategyAddTeam LeadershipAddTeamworkAdd
Associate Director- Talent Acquisition,Zycus,"Mumbai, Maharashtra, India",On-site,"1,001-5,000 employees","1,837 on LinkedIn",102 applicants,"Computer Software 1,001-5,000 employees 1,837 on LinkedIn",Full-time · Director,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Applicant Tracking SystemsAddCandidate ExperienceAddEmployer BrandingAddFull-life Cycle RecruitingAddHuman Resources (HR)AddMass HiringAddTeam LeadershipAddTeam ManagementAddTechnical RecruitingAddTracking SystemsAdd
Business Analyst,IDESLABS PRIVATE LIMITED,"Bengaluru, Karnataka, India",On-site,51-200 employees,102 on LinkedIn,1 applicant,Information Technology & Services 51-200 employees 102 on LinkedIn,Full-time · Mid-Senior level,[''],Analytical SkillsData AnalysisProblem SolvingBusiness AnalysisAddBusiness ProcessAddBusiness Process ImprovementAddBusiness RequirementsAddRequirements GatheringAddSoftware DocumentationAddTeamworkAdd
"Architect(.NET) Openings At Wolters Kluwer, Mumbai",Wolters Kluwer,"Mumbai, Maharashtra, India",On-site,"10,001+ employees","21,082 on LinkedIn",107 applicants,"Information Services 10,001+ employees 21,082 on LinkedIn",Full-time · Mid-Senior level,"['Bachelor’s Degree in Information Technology, MIS, or related field', '10 years of experience in development in specified area', 'Proven experience as a software architect for 5+ years', 'Minimum 10+ years developing applications –preferably web based - in a .NET environment with C# as the primary language', '', '', '', '', '', '', '', '', '', '', '', '', '']",.NET FrameworkAddASP.NETAddASP.NET MVCAddDesign ReviewAddFront-End DevelopmentAddModel-View-Controller (MVC)AddOWASPAddSoftware ArchitectureAddTechnical UnderstandingAddWeb Application SecurityAdd
General Manager- Marriott Navi Mumbai,Marriott Hotels,"Mumbai, Maharashtra, India",Hybrid,"10,001+ employees","28,846 on LinkedIn",86 applicants,"Hospitality 10,001+ employees 28,846 on LinkedIn",Full-time · Executive,"['', '', '', '', '']",Business InformationAddBusiness PlanningAddInformation AnalysisAddLabor RelationsAddNew Business OpportunitiesAddPublic RelationsAddRestaurant ManagementAddSales & MarketingAddStrategy ExecutionAddTalent ManagementAdd
