Job_Name,Company,Loaction,Job_type,Employees,Followers,Applicant,Industry,Invovlement,Job_Desception,skills
Talent Sourcing Specialist - Pune,SNIPEBRIDGE,"Pune, Maharashtra, India",On-site,11-50 employees,16 on LinkedIn,147 applicants,Human Resources 11-50 employees 16 on LinkedIn,Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']",Applicant Tracking SystemsAddCritical ThinkingAddProblem SolvingAddProcurementAddRecruitingAddSourcingAddStrategic SourcingAddTalent SourcingAddTracking SystemsAddTransparencyAdd
Marketing Associate - DB Operations,Innovapptive Inc,"Hyderabad, Telangana, India",On-site,201-500 employees,329 on LinkedIn,19 applicants,Computer Software 201-500 employees 329 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",CampaignsAddHooversAddInternet SavvyAddListsAddMarket ResearchAddMarketing AnalyticsAddMarketing Campaign ManagementAddMarketing OperationsAddSecondary MarketAddSocial MediaAdd
Business Analyst - IT,Alexia Consulting Services LLP,"Kolkata, West Bengal, India",Hybrid,11-50 employees,11 on LinkedIn,10 applicants,Human Resources 11-50 employees 11 on LinkedIn,Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",BRDAddBusiness RequirementsAddBusiness WorkflowsAddDFDAddDiagramsAddDocumentationAddFlow DiagramsAddRequirement SpecificationsAddUser StoriesAddWireframingAdd
Reporting Analyst,Moody's Corporation,"Gurgaon, Haryana, India",On-site,"10,001+ employees","12,784 on LinkedIn",122 applicants,"Financial Services 10,001+ employees 12,784 on LinkedIn",Full-time,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Data AnalysisAnalytical SkillsAddAnalyticsAddCommunicationAddData AnalyticsAddPresentation SkillsAddPresentationsAddProblem SolvingAddReporting & AnalysisAddReporting RequirementsAdd
ExcelHER - Senior .Net Developer,Volvo Group,"Bengaluru, Karnataka, India",On-site,"10,001+ employees","68,352 on LinkedIn",6 applicants,"Automotive 10,001+ employees 68,352 on LinkedIn",Temporary,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",ASP.NETAddASP.NET MVCAddAngularAddC#AddModel-View-Controller (MVC)AddOptimization TechniquesAddQuery OptimizationAddService-Oriented Architecture (SOA)AddVisual Basic .NET (VB.NET)AddjQueryAdd
TRAXX Administrator (Manager Services),V-Konnect Associates,"Mumbai, Maharashtra, India",On-site,51-200 employees,148 on LinkedIn,Null,Staffing & Recruiting 51-200 employees 148 on LinkedIn,Full-time · Entry level,"['Job Opening Details back to list Reference Code: VK22683 Job Title: TRAXX Administrator (Manager Services) Category: Job Description: End to end TRAXX management to be handled including all existing modules, resolving querys, link between Company RCS.To be instrumental in developing new modules exploring new ideas to align with companys objective of digitization.24x7 support as when required. Key Skills: On hands travel experience of 2-6 yearsGood competency in executing of projects (preferably software execution)Able to align with companys objective of digitizationAnalytical skillsMicrosoft office expertGood communication skillsGood admin/infra knowledgeGood knowledge of asset management Location: Mumbai Andheri Required Experience: 2-6 yrs Positions: 1 Contact Person: Mamta Chauhan Email ID: mamta.chauhan@v-konnect.com,This job is provided by Shine.com"" analytical skills"", english, "" communication skills"", ""asset management"", "" microsoft office"", windows, teamwork']",24x7AddAdministrationAddAnalytical SkillsAddAsset ManagementAddCommunicationAddCustomer SatisfactionAddDigitizationAddOffice AdministrationAddSystem AdministrationAddTeamworkAdd
Purchase Executive,Quality HR Services,"Mumbai, Maharashtra, India",On-site,2-10 employees,9 on LinkedIn,Null,Human Resources 2-10 employees 9 on LinkedIn,Contract · Mid-Senior level,"['Exp: 3-5 years; Industries Plastic Responsibilities Evaluating suppliers by considering price, quality, availability and other criteria. Interviewing vendors and visiting suppliers facilities to learn about products, services and pricing. Negotiating contracts with vendors and suppliers to obtain the best deals on behalf of the company. Verifying purchases by comparing them to a master list and recommending alternatives for expensive or irrelevant products. Interacting with suppliers to schedule delivery times and resolve shipping errors. Authorizing payments and maintain receipts, records and inventories. Vendor Development / Vendor Management, Supply Chain Management, Purchase Procurement of Material, Material Management. Responsible for vendor follow up regarding material status (ongoing material procured). Checking delivery status of material procured. Coordination with internal team as per requirement. Required Skills Working experience in Purchase Department / SAP. Logical thinking. Organizing. Good in communication. Required Qualification - Diploma/BE/B.Tech- Mechanicalvendor management , supply chain , purchaseprocurement , purchase , logistics , vendor development , material management , supply chain management , vendor , purchase department , purchase executive']",Accounting StandardsAddCommunicationAddContract NegotiationAddCritical ThinkingAddNegotiationAddPlastics EngineeringAddProcurementAddSales ContractsAddSales NegotiationAddStatutory Accounting Principles (SAP)Add
Senior Planner,Brunel,"Pune, Maharashtra, India",On-site,"10,001+ employees","5,011 on LinkedIn",38 applicants,"Staffing & Recruiting 10,001+ employees 5,011 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Contract RequirementsAddContractualAddKey Performance IndicatorsAddLand UseAddOracle PrimaveraAddPath AnalysisAddProject ControlAddProject ImplementationAddProject PlanningAddZoningAdd
Urgent | Production Support | MNC | US Shift | Hybrid Mode,GenXHire Services Private Limited,"Mumbai, Maharashtra, India",Full-time · Entry level,51-200 employees,100 on LinkedIn,14 applicants,Human Resources 51-200 employees 100 on LinkedIn,Full-time · Entry level,[''],Application SupportAddCommunicationAddData PrivacyAddData RetentionAddDebuggingAddIncident ManagementAddProduction SupportAddQuery WritingAddSQLAddTransport Layer Security (TLS)Add
"Director of Business Development, India",Collinson,"Mumbai, Maharashtra, India",Hybrid,"1,001-5,000 employees","1,623 on LinkedIn",85 applicants,"Consumer Services 1,001-5,000 employees 1,623 on LinkedIn","1,001-5,000 employees · Consumer Services","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",AirlinesAddAstuteAddAttention to DetailAddBuild Strong RelationshipsAddBusiness DevelopmentAddConfidentialityAddNew Business OpportunitiesAddPresentationsAddRFPAddRelationship BuildingAdd
C# Developer,Oxit,India,Remote,11-50 employees,58 on LinkedIn,149 applicants,Information Technology & Services 11-50 employees 58 on LinkedIn,Contract · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",.NET CoreAddC (Programming Language)AddC#AddCollaborative Problem SolvingAddComputer ScienceAddDoctrine (PHP)AddModel-View-Controller (MVC)AddObject-Oriented Programming (OOP)AddProgrammingAddWindows Communication Foundation (WCF)Add
Angular Developer _ Jaipur,Triaksha Automation Technologies Pvt. Ltd.,"Jaipur, Rajasthan, India",On-site,51-200 employees,17 on LinkedIn,34 applicants,Information Technology & Services 51-200 employees 17 on LinkedIn,Contract · Entry level,"['Opening for MNC- Jaipur LocationJob Description For Angular RoleRole : ContractCandidate must have strong knowledge and experience with Angular Framework. (Angular 8.0 Above Version)Cooperating with the back-end developer in the process of building the RESTful APIWorking with User Experience team members and .NET Developers through the stages of design, development, QA, launch, and maintenanceCommunicating with external web servicesWriting tested, idiomatic, and documented JavaScript, HTML and CSS(SASS/LESS)Ensuring high performance on mobile and desktop, application with cross-browser compatibleWorking with Project Managers, providing a list of branding objectives and estimating work/hour estimates for these objectivesMust have knowledge of any UI frameworks (Bootstrap, foundation, skeletonHelping solve branding issues in the integration of HTML and CSS into packaged products or SAAS solutionsEnsuring that the integrity of designs, branding elements, and user experience standards are maintained throughout developmentProducing working prototypes that explore new approaches to UI design and WOW customers5+ year experience with HTML, CSS, jQuery, and JavaScript required.Experience in, React JS, VUE JS, Node JS a plus']",AngularAddBack-End Web DevelopmentAddBootstrapAddCascading Style Sheets (CSS)AddHTMLAddJavaScriptAddRepresentational State Transfer (REST)AddSASSAddUser Interface DesignAddjQueryAdd
Customer Service Associate II,Jobs for Humanity,"Mumbai, Maharashtra, India",On-site,11-50 employees,32 on LinkedIn,2 applicants,Non-profit Organization Management 11-50 employees 32 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",CommunicationAddComputer NavigationAddCustomer ExperienceAddCustomer SatisfactionAddCustomer ServiceAddCustomer SupportAddInterpersonal SkillsAddPhone EtiquetteAddRoot CauseAddWritten CommunicationAdd
Client Retirement Plans Analyst Specialist(Should have 5+ years of experience in form 5500 preparation/Compliance Testing) Pune/Bangalore,Jobs for Humanity,"Pune, Maharashtra, India",On-site,11-50 employees,32 on LinkedIn,5 applicants,Non-profit Organization Management 11-50 employees 32 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '']",Analytical SkillsAddCompliance TestingAddForm 5500 preparationAddMicrosoft ExcelAddMicrosoft OutlookAddNondiscrimination TestingAddOrganization SkillsAddPayroll AdministrationAddProblem SolvingAddTeamworkAdd
IT Security Analyst Specialist ( PKI/Venafi/Digital Certificate Management,Jobs for Humanity,"Bengaluru, Karnataka, India",On-site,11-50 employees,32 on LinkedIn,5 applicants,Non-profit Organization Management 11-50 employees 32 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Access ControlAddCertificate ManagementAddComputer ScienceAddCryptographyAddData PrivacyAddPKIAddPortalsAddSecurity ControlsAddVenafi PlatformAddVulnerabilityAdd
Urban Company - HR Business Partner,Urban Company,"Gurugram, Haryana, India",On-site,"1,001-5,000 employees","4,322 on LinkedIn",141 applicants,"Computer Software 1,001-5,000 employees 4,322 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",CoachingAddCritical ThinkingAddFlexible ApproachAddHR PoliciesAddHR StrategyAddHuman Resources (HR)AddTalent AssessmentAddTalent ManagementAddThinking SkillsAddUnified CommunicationsAdd
Urgent openings for Procurement Engineer with leading MNC company at Nashik,Catalyst Corporate Services Pvt Ltd,"Nashik, Maharashtra, India",On-site,51-200 employees,34 on LinkedIn,9 applicants,Financial Services 51-200 employees 34 on LinkedIn,Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Cascading Style Sheets (CSS)AddContract NegotiationAddExpeditingAddMicrosoft ExcelAddMicrosoft PowerPointAddNegotiationAddProcurementAddPurchasingAddSupplier EvaluationAddSupplier NegotiationAdd
Configuration Release Analyst II,Jobs for Humanity,"Bengaluru, Karnataka, India",On-site,11-50 employees,32 on LinkedIn,1 applicant,Non-profit Organization Management 11-50 employees 32 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Analytical SkillsAddApplication DeploymentAddFlow ChartsAddIT Service ManagementAddOpsAddRelease ManagementAddReporting RequirementsAddStrategic ThinkingAddTCO reductionAddTest DataAdd
Human Resources Executive,MediPharma Konnect,"Ahmedabad, Gujarat, India",On-site,11-50 employees,46 on LinkedIn,27 applicants,Management Consulting 11-50 employees 46 on LinkedIn,"₹180,000/yr - ₹300,000/yr · Full-time · Mid-Senior level","['Has to manage end to end recruitment from searching to joiningMIS Updation and follow upSearching the right candidatesUsing different platform like linkedin, portal, Facxebook , instagram to find the right profilesLine up the candidates as per client requirement and availabilitycoordination and follow up with HR personPrepare a list of the vacancies with JDcoordination with team mateshandle freelancer']",Client RequirementsAddEmployee EngagementAddEmployee RelationsAddEnd to End RecruitmentsAddExit InterviewsAddHR PoliciesAddHuman Resources (HR)AddManagement Information Systems (MIS)AddRecruitingAddTalent ManagementAdd
IT Procurement Manager,Acme Services,"Mumbai, Maharashtra, India",On-site,51-200 employees,272 on LinkedIn,164 applicants,Human Resources 51-200 employees 272 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '']",Capital ExpendituresAddContract NegotiationAddIT ProcurementAddInformation TechnologyAddProcurementAddPurchase RequisitionsAddSupplier EvaluationAddSupplier NegotiationAddSupplier Relationship ManagementAddVendor RelationsAdd
Engineering Manager - India,Egen,"Hyderabad, Telangana, India",Remote,201-500 employees,"1,969 on LinkedIn",32 applicants,"Information Technology & Services 201-500 employees 1,969 on LinkedIn",Full-time,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']",Amdocs CRMAddEnterprise Solution DesignAddProduction ExperienceAddProject PlansAddRelease ManagementAddSoftware DevelopmentAddSoftware Development Life Cycle (SDLC)AddSoftware as a Service (SaaS)AddTechnical Solution DesignAddUser RequirementsAdd
Master Data Management,CIEL HR,"Bengaluru, Karnataka, India",On-site,"501-1,000 employees","1,226 on LinkedIn",2 applicants,"Human Resources 501-1,000 employees 1,226 on LinkedIn",Temporary · Mid-Senior level,"['Role: MDMExperience:2+yearsLocation: Work from office: Master data management, Vendor master:Ciel roll: Chennai: Rotational (6pm to 2 am )POSITION OVERVIEW : In these roles, you will be responsible for: Add, delete modify, test data in systems based on client source files based on moderately complex to complex business rules Ensures accurate and timely completion of transactions to meet or exceed client SLAs POSITION GENERAL DUTIES AND TASKS : In these roles, you will be responsible for: Add, delete modify, test data in systems based on client source files based on moderately complex to complex business rules Ensures accurate and timely completion of transactions to meet or exceed client SLAs Identify and resolve both regular and non-routine problems or escalate to more proficient team members. Apply financial domain knowledge (indicative list AP/AR, Fixed Asset, AP Helpdesk, Cash Apps etc.), theoretical concepts to undertake problem solving Works on preparation of SOPs Develops tactical and operational plans to achieve key milestones in the project Collaborating with management or other team members as appropriate to proactively address service issues and concerns Requirements for this role include: University Degree - Preferred Accounting Graduates. At least 1 year of experience using a computer with Windows PC applications that required you to use a keyboard, navigate screens, and learn new software tools. Preferences: - Ability to communicate (oral/written) effectively in a professional/office setting. Commerce graduate with Accounting as a compulsory subject. Effective troubleshooting skills Ability to perform complex rule based data conversion work across different areas in the F&A domain. 2-5 Years of experience is required. Required schedule availability for this position is Monday-Friday 05:30 pm to 3:30 am. Required shifts within that range could include 2pm to 12pm and 6pm to 4am The shift timings can be changed as per client requirements. Additionally, resources may have to do overtime and work on weekends based on business requirements.The company is a top 10 global IT services provider, headquartered in Tokyo and operating in more than 50 countries.For us, work is not only for technological innovation, it is about connecting people to create better solutions for everyday life.It offers an advanced portfolio of consulting, application, business process, cloud, and infrastructure services to businesses and governments worldwide.Our roots cross continents and cultures, dating back five decades. Since the foundation ofThe company have made sustainable business growth through our DNA to be people-oriented. Through our long-term perspective, we hope to make a big difference in this world by getting the small things right. This pedigree yields a characteristic unique to company, the opportunity for a global brand with the creative energy and enthusiasm of an entrepreneur.CIEL HR marks the return of HR visionaries to the HR Services industry, powered by technology and analytics. The Founders of Ma Foi, the pioneer of the HR services sector in India, along with some of the finest brains in the HR Services Industry have envisioned and built the firm, CIEL HR, to deliver the full range of Recruiting services from Executive Search, Recruitment Process Outsourcing and Staffing Permanent as well as Temporary roles through its offices in India and Middle East.Advanced data sciences and analytics have been applied by the in-house technology team to build a unique IT system for CIEL HR that helps us find the most suitable candidates in the shortest possible time.']",Analytical SkillsAddBusiness RulesAddCommerceAddCommunicationAddData ManagementAddDatabasesAddMaster DataAddMaster Data ManagementAddOracle Meter Data Management (MDM)AddProblem SolvingAdd
Recruiter,OMSGURU Solutions PVT.LTD,"Ahmedabad, Gujarat, India",On-site,201-500 employees,29 on LinkedIn,13 applicants,Retail 201-500 employees 29 on LinkedIn,Full-time · Mid-Senior level,"[""We are looking for a dedicated recruiter to join our HR team in identifying hiring needs and fillingjob openings. The responsibilities of a recruiter include identifying future hiring needs, designingjob descriptions, sourcing candidates through databases and social media, conducting interviews,filing paperwork, and keeping abreast of employment law and legislation. You should also monitornew and existing employees and act as their advocate.A successful recruiter has excellent interpersonal skills, is organized and detail-oriented, remainsup-to-date with employment legislature, and keeps informed in company hiring and internshipprograms. A good recruiter can assess candidates' skills, experience, and relevant knowledge andcompare them to job requirements.Identifying future hiring needs and developing job descriptions and specifications.Collaborating with department managers to compile a consistent list of requirements.Attracting suitable candidates through databases, online employment forums, social media,etc.Conducting interviews and sorting through applicants to fill open positions.Assessing applicants' knowledge, skills, and experience to best suit open positions.Completing paperwork for new hires.Promoting the company's reputation and attractiveness as a good employment opportunity.Managing internship programs.Keeping up-to-date on current employment legislation and regulations and enforcing themwithin the company.Providing recruitment reports to team managers.A bachelor's degree in human resources.The ability to conduct different types of interviews.Experience with recruitment processes and databases.The ability to design and implement recruiting strategies.Excellent communication skills.Good interpersonal skills.Good decision-making skills.A working knowledge of employment law and legislation.Experience: 1-3 years of ExperienceSalary up to 22,000""]",CommunicationAddDatabasesAddHuman Resources (HR)AddInterpersonal CommunicationAddInterpersonal SkillsAddInterviewingAddNew HiresAddRecruitingAddSocial MediaAddTeamworkAdd
Project Manager,ACMA Computers Ltd.,"Thane, Maharashtra, India",On-site,"501-1,000 employees",286 on LinkedIn,15 applicants,"Information Technology & Services 501-1,000 employees 286 on LinkedIn",Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Business ResilienceAddDocumentationAddEscalations ManagementAddHandoverAddKey Performance IndicatorsAddMBRAddProblem SolvingAddRoot CauseAddRoot Cause AnalysisAddSystem PerformanceAdd
Business Development Manager,CrystalVoxx Global LLP,"Ahmedabad, Gujarat, India",On-site,51-200 employees,24 on LinkedIn,7 applicants,Hospital & Health Care 51-200 employees 24 on LinkedIn,Full-time · Mid-Senior level,"['Creating and maintaining a list/database of prospect clients', 'Manage client accounts generated and assigned by regular follow ups.', 'Communicate with clients and understand their daily requirements of products.', '', '', '', '', '']",Account ManagementAddBusiness PlanningAddClient RelationsAddCommunicationAddContract NegotiationAddCustomer ServiceAddNegotiationAddNew Business DevelopmentAddSalesAddTeamworkAdd
Production Support Engineer,Antal International,"Bengaluru East, Karnataka, India",On-site,"1,001-5,000 employees","1,818 on LinkedIn",142 applicants,"Staffing & Recruiting 1,001-5,000 employees 1,818 on LinkedIn",Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']",Database QueriesAddDatabasesAddHandoverAddIncident ManagementAddProblem SolvingAddProduction SupportAddRCAAddSanity TestingAddTroubleshootingAddUser Acceptance TestingAdd
Urgent openings For Procurement Engineer with MNC company at Nashik,Catalyst Corporate Services Pvt. Ltd.,"Nashik, Maharashtra, India",On-site,"501-1,000 employees",82 on LinkedIn,4 applicants,"Outsourcing/Offshoring 501-1,000 employees 82 on LinkedIn",Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Cascading Style Sheets (CSS)AddClosureAddContract NegotiationAddExpeditingAddMicrosoft PowerPointAddNegotiationAddProcurementAddPurchasingAddSupplier EvaluationAddSupplier NegotiationAdd
AP - Payments - Analyst,Koch Business Solutions India,"Bengaluru, Karnataka, India",On-site,"1,001-5,000 employees","1,574 on LinkedIn",37 applicants,"Oil & Energy 1,001-5,000 employees 1,574 on LinkedIn",Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Accounts PayableAddCommunicationAddCommunication TrainingAddCritical ThinkingAddFinancial AccountingAddPTPAddPayment Card ProcessingAddRoot CauseAddStatutory Accounting Principles (SAP)AddThinking SkillsAdd
Software Engineer (Java),Ezeiatech,"Gurgaon, Haryana, India",On-site,51-200 employees,61 on LinkedIn,3 applicants,Computer Software 51-200 employees 61 on LinkedIn,Full-time · Associate,"['', '', '', '', '', '', '', '', '', '', '']",Application DevelopmentAddComputer ScienceAddDatabasesAddHibernateAddJakarta EEAddJavaAddObject-Relational Mapping (ORM)AddRelational DatabasesAddSpring FrameworkAddTest Driven DevelopmentAdd
Implementation-Conversion Supervisor,Jobs for Humanity,"Mumbai, Maharashtra, India",On-site,11-50 employees,32 on LinkedIn,Null,Non-profit Organization Management 11-50 employees 32 on LinkedIn,Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Attention to DetailAddCommerceAddCommunicationAddComputer EngineeringAddComputer ScienceAddDocumentationAddInterpersonal RelationshipsAddMoraleAddNegotiationAddProblem SolvingAdd
